date,Year,Sum of TrueEmployed
2019-01-01 00:00:00,2019,9064000
2019-02-01 00:00:00,2019,9072000
2019-03-01 00:00:00,2019,9127000
2019-04-01 00:00:00,2019,9119000
2019-05-01 00:00:00,2019,9120000
2019-06-01 00:00:00,2019,9178000
2019-07-01 00:00:00,2019,9209000
2019-08-01 00:00:00,2019,9168000
2019-09-01 00:00:00,2019,9182000
2019-10-01 00:00:00,2019,9185000
2019-11-01 00:00:00,2019,9159000
2019-12-01 00:00:00,2019,9136000
2020-01-01 00:00:00,2020,9135000
2020-02-01 00:00:00,2020,9130000
2020-03-01 00:00:00,2020,9044000
2020-04-01 00:00:00,2020,7373000
2020-05-01 00:00:00,2020,7518000
2020-06-01 00:00:00,2020,7955000
2020-07-01 00:00:00,2020,8062000
2020-08-01 00:00:00,2020,8381000
2020-09-01 00:00:00,2020,8387000
2020-10-01 00:00:00,2020,8434000
2020-11-01 00:00:00,2020,8468000
2020-12-01 00:00:00,2020,8446000
2021-01-01 00:00:00,2021,8322000
2021-02-01 00:00:00,2021,8326000
2021-03-01 00:00:00,2021,8640000
2021-04-01 00:00:00,2021,8661000
2021-05-01 00:00:00,2021,8628000
2021-06-01 00:00:00,2021,8717000
